,Tissue,cell_ontology_class,age,dataset,cell_id,seurat_clusters
1_E6.5_8.5_Chan,epiblast,epiblast ,E6.5,E6.5_8.5_Chan,1_E6.5_8.5_Chan,6
2_E6.5_8.5_Chan,xecto,ectoderm early 2,E6.5,E6.5_8.5_Chan,2_E6.5_8.5_Chan,6
3_E6.5_8.5_Chan,epiblast,epiblast ,E6.5,E6.5_8.5_Chan,3_E6.5_8.5_Chan,6
4_E6.5_8.5_Chan,epiblast,epiblast ,E6.5,E6.5_8.5_Chan,4_E6.5_8.5_Chan,6
5_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E6.5,E6.5_8.5_Chan,5_E6.5_8.5_Chan,17
6_E6.5_8.5_Chan,epiblast,epiblast ,E6.5,E6.5_8.5_Chan,6_E6.5_8.5_Chan,6
7_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E6.5,E6.5_8.5_Chan,7_E6.5_8.5_Chan,17
8_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E6.5,E6.5_8.5_Chan,8_E6.5_8.5_Chan,17
9_E6.5_8.5_Chan,xendo,primitive and definitive endoderm,E6.5,E6.5_8.5_Chan,9_E6.5_8.5_Chan,16
10_E6.5_8.5_Chan,xendo,primitive and definitive endoderm,E6.5,E6.5_8.5_Chan,10_E6.5_8.5_Chan,16
11_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 2,E6.5,E6.5_8.5_Chan,11_E6.5_8.5_Chan,17
12_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 2,E6.5,E6.5_8.5_Chan,12_E6.5_8.5_Chan,17
13_E6.5_8.5_Chan,xendo,visceral endoderm early,E6.5,E6.5_8.5_Chan,13_E6.5_8.5_Chan,16
14_E6.5_8.5_Chan,xendo,primitive and definitive endoderm,E6.5,E6.5_8.5_Chan,14_E6.5_8.5_Chan,16
15_E6.5_8.5_Chan,xendo,parietal endoderm ,E6.5,E6.5_8.5_Chan,15_E6.5_8.5_Chan,4
16_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E7.0,E6.5_8.5_Chan,16_E6.5_8.5_Chan,17
17_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,17_E6.5_8.5_Chan,6
18_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.0,E6.5_8.5_Chan,18_E6.5_8.5_Chan,6
19_E6.5_8.5_Chan,xmeso,primitive streak early ,E7.0,E6.5_8.5_Chan,19_E6.5_8.5_Chan,10
20_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,20_E6.5_8.5_Chan,6
21_E6.5_8.5_Chan,xmeso,primitive streak early ,E7.0,E6.5_8.5_Chan,21_E6.5_8.5_Chan,10
22_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,22_E6.5_8.5_Chan,6
23_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,23_E6.5_8.5_Chan,6
24_E6.5_8.5_Chan,xmeso,streak pre-specified/anterior,E7.0,E6.5_8.5_Chan,24_E6.5_8.5_Chan,6
25_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,25_E6.5_8.5_Chan,6
26_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,26_E6.5_8.5_Chan,6
27_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,27_E6.5_8.5_Chan,6
28_E6.5_8.5_Chan,xmeso,primitive streak early ,E7.0,E6.5_8.5_Chan,28_E6.5_8.5_Chan,10
29_E6.5_8.5_Chan,xendo,visceral endoderm early,E7.0,E6.5_8.5_Chan,29_E6.5_8.5_Chan,16
30_E6.5_8.5_Chan,xmeso,allantois ,E7.0,E6.5_8.5_Chan,30_E6.5_8.5_Chan,12
31_E6.5_8.5_Chan,xendo,primitive and definitive endoderm,E7.0,E6.5_8.5_Chan,31_E6.5_8.5_Chan,16
32_E6.5_8.5_Chan,xmeso,primitive streak early ,E7.0,E6.5_8.5_Chan,32_E6.5_8.5_Chan,10
33_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E7.0,E6.5_8.5_Chan,33_E6.5_8.5_Chan,12
34_E6.5_8.5_Chan,xmeso,streak pre-specified/anterior,E7.0,E6.5_8.5_Chan,34_E6.5_8.5_Chan,10
35_E6.5_8.5_Chan,xmeso,streak pre-specified/anterior,E7.0,E6.5_8.5_Chan,35_E6.5_8.5_Chan,6
36_E6.5_8.5_Chan,xmeso,streak pre-specified/anterior,E7.0,E6.5_8.5_Chan,36_E6.5_8.5_Chan,6
37_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E7.0,E6.5_8.5_Chan,37_E6.5_8.5_Chan,17
38_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,38_E6.5_8.5_Chan,6
39_E6.5_8.5_Chan,xendo,primitive and definitive endoderm,E7.0,E6.5_8.5_Chan,39_E6.5_8.5_Chan,16
40_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,40_E6.5_8.5_Chan,6
41_E6.5_8.5_Chan,pgcs,primordial germ cells (PGCs) ,E7.0,E6.5_8.5_Chan,41_E6.5_8.5_Chan,10
42_E6.5_8.5_Chan,xendo,parietal endoderm ,E7.0,E6.5_8.5_Chan,42_E6.5_8.5_Chan,4
43_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E7.0,E6.5_8.5_Chan,43_E6.5_8.5_Chan,12
44_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,44_E6.5_8.5_Chan,6
45_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E7.5,E6.5_8.5_Chan,45_E6.5_8.5_Chan,17
46_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E7.5,E6.5_8.5_Chan,46_E6.5_8.5_Chan,17
47_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,47_E6.5_8.5_Chan,6
48_E6.5_8.5_Chan,xmeso,primitive streak late ,E7.5,E6.5_8.5_Chan,48_E6.5_8.5_Chan,10
49_E6.5_8.5_Chan,xendo,visceral endoderm early,E7.5,E6.5_8.5_Chan,49_E6.5_8.5_Chan,16
50_E6.5_8.5_Chan,xmeso,allantois ,E7.5,E6.5_8.5_Chan,50_E6.5_8.5_Chan,19
51_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,51_E6.5_8.5_Chan,6
